"year" "doy" "hour" "month" "SW"
2010 9 21 1 -9999
2010 9 22 1 -9999
2010 9 23 1 -9999
2010 10 0 1 -9999
2010 10 1 1 -9999
2010 10 2 1 -9999
2010 10 3 1 -9999
2010 10 4 1 -9999
2010 10 5 1 -9999
2010 10 6 1 -9999
2010 10 7 1 -9999
2010 10 8 1 -9999
2010 10 9 1 -9999
2010 10 10 1 -9999
2010 10 11 1 -9999
2010 10 12 1 -9999
2010 10 13 1 -9999
2010 10 14 1 -9999
2010 10 15 1 -9999
2010 10 16 1 -9999
2010 10 17 1 -9999
2010 10 18 1 -9999
2010 10 19 1 -9999
2010 10 20 1 -9999
2010 10 21 1 -9999
2010 10 22 1 -9999
2010 10 23 1 -9999
2010 11 0 1 -9999
2010 11 1 1 -9999
2010 11 2 1 -9999
2010 11 3 1 -9999
2010 11 4 1 -9999
2010 11 5 1 -9999
2010 11 6 1 -9999
2010 11 7 1 -9999
2010 11 8 1 -9999
2010 11 9 1 -9999
2010 11 10 1 -9999
2010 11 11 1 -9999
2010 11 12 1 -9999
2010 11 13 1 -9999
2010 11 14 1 -9999
2010 11 15 1 -9999
2010 11 16 1 -9999
2010 11 17 1 -9999
2010 11 18 1 -9999
2010 11 19 1 -9999
2010 11 20 1 -9999
2010 11 21 1 -9999
2010 11 22 1 -9999
2010 11 23 1 -9999
2010 12 0 1 -9999
2010 12 1 1 -9999
2010 12 2 1 -9999
2010 12 3 1 -9999
2010 12 4 1 -9999
2010 12 5 1 -9999
2010 12 6 1 -9999
2010 12 7 1 -9999
2010 12 8 1 -9999
2010 12 9 1 -9999
2010 12 10 1 -9999
2010 12 11 1 -9999
2010 12 12 1 -9999
2010 12 13 1 -9999
2010 12 14 1 -9999
2010 12 15 1 -9999
2010 12 16 1 -9999
2010 12 17 1 -9999
2010 12 18 1 -9999
2010 12 19 1 -9999
2010 12 20 1 -9999
2010 12 21 1 -9999
2010 12 22 1 -9999
2010 12 23 1 -9999
2010 13 0 1 -9999
2010 13 1 1 -9999
2010 13 2 1 -9999
2010 13 3 1 -9999
2010 13 4 1 -9999
2010 13 5 1 -9999
2010 13 6 1 -9999
