days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd	Foliage	Foliage_sd	FoliageNPP	FNPP_sd	Wood	Wood_sd	WoodNPP	WNPP_sd	Root	Root_sd	RootNPP	RNPP_sd	SoilC	SoilC_sd	Phenology	Pheno_sd
971	2.04781757	-9999	-0.92602332	-9999	1.12179425	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
972	2.113362855	-9999	-1.106859384	-9999	1.006503471	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
973	2.040954326	-9999	-0.665091324	-9999	1.375863002	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
977	2.047622108	-9999	-0.363239878	-9999	1.68438223	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
978	3.056461117	-9999	-1.398694414	-9999	1.657766704	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
983	3.341270244	-9999	-1.30798584	-9999	2.033284404	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
992	3.464140051	-9999	-1.767030034	-9999	1.697110017	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
995	3.615404548	-9999	-2.25203544	-9999	1.363369108	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
999	3.611680888	-9999	-2.207325773	-9999	1.404355115	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1000	-9999	-9999	-9999	-9999	-9999	-9999	66.1488	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1001	2.332395922	-9999	-1.08404873	-9999	1.248347192	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1006	2.243425194	-9999	-1.353367915	-9999	0.890057279	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1007	2.460965814	-9999	-1.65079788	-9999	0.810167934	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1008	1.542057493	-9999	-0.905919098	-9999	0.636138395	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1011	1.575765725	-9999	-1.029132216	-9999	0.546633509	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1012	1.579446352	-9999	-1.038095568	-9999	0.541350784	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1017	1.348254305	-9999	-0.61708824	-9999	0.731166065	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1031	0.483111089	-9999	0.036034567	-9999	0.519145656	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1032	0.635926367	-9999	-0.06016963	-9999	0.575756737	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1033	0.54679012	-9999	0.098377589	-9999	0.645167709	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1037	0.476759291	-9999	-0.150073236	-9999	0.326686055	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1039	0.352628119	-9999	-0.10982885	-9999	0.242799269	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1044	0.18194712	-9999	-0.035375938	-9999	0.146571183	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1051	0.235510671	-9999	0.0868428	-9999	0.322353471	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1054	0.374686394	-9999	-0.152328449	-9999	0.222357945	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1088	0.082496068	-9999	0.218900902	-9999	0.301396969	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1090	0.117798451	-9999	0.134217676	-9999	0.252016127	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1093	0.230320731	-9999	0.004660092	-9999	0.234980823	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1094	0.103584893	-9999	0.11483424	-9999	0.218419133	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1097	0.178055254	-9999	0.05775573	-9999	0.235810984	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1098	0.273010594	-9999	0.030767113	-9999	0.303777707	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1104	0.142909943	-9999	0.199180577	-9999	0.34209052	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1109	0.220317055	-9999	0.077153213	-9999	0.297470268	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1149	0.299199577	-9999	-0.136516169	-9999	0.162683409	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1150	0.287254375	-9999	-0.152643506	-9999	0.134610869	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1165	0.423887073	-9999	-0.186154347	-9999	0.237732726	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1172	0.624452127	-9999	-0.120001154	-9999	0.504450973	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1175	0.376997161	-9999	-0.179539589	-9999	0.197457572	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1181	0.549283696	-9999	-0.212275188	-9999	0.337008508	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1190	0.501026708	-9999	-0.211370256	-9999	0.289656452	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1192	0.372575461	-9999	-0.151479465	-9999	0.221095996	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1208	0.964418354	-9999	-0.446721264	-9999	0.51769709	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1210	0.72210817	-9999	-0.358105946	-9999	0.364002223	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
