     40,         2.9731,         1.9700,         1.7871,         1.8376,         1.9636,         2.1511,         2.5543,         3.2441,         3.9947,         4.7475,         5.4694
     41,         2.5857,         2.3063,         2.0429,         1.9581,         2.0328,         2.2065,         2.5923,         3.2586,         3.9957,         4.7408,         5.4571
     42,         1.6850,         2.0828,         2.0834,         2.0659,         2.1225,         2.2698,         2.6315,         3.2752,         3.9981,         4.7347,         5.4449
     43,         1.0631,         1.5817,         1.9084,         2.0728,         2.1840,         2.3325,         2.6730,         3.2936,         4.0017,         4.7291,         5.4328
     44,         2.6425,         2.0228,         1.9419,         2.0527,         2.2029,         2.3768,         2.7134,         3.3136,         4.0065,         4.7241,         5.4208
     45,         1.5075,         2.0601,         2.0841,         2.1213,         2.2381,         2.4108,         2.7491,         3.3342,         4.0125,         4.7198,         5.4090
     46,        -1.0424,         1.1354,         1.8599,         2.1232,         2.2782,         2.4490,         2.7820,         3.3546,         4.0192,         4.7160,         5.3973
     47,         1.1219,         1.3657,         1.6699,         2.0044,         2.2579,         2.4718,         2.8123,         3.3747,         4.0266,         4.7128,         5.3857
     48,         2.1049,         1.3944,         1.6298,         1.9496,         2.2254,         2.4720,         2.8352,         3.3938,         4.0343,         4.7100,         5.3742
     49,         4.3754,         2.5937,         2.0135,         2.0142,         2.2192,         2.4677,         2.8502,         3.4107,         4.0420,         4.7076,         5.3630
     50,         4.3264,         3.0191,         2.4467,         2.2421,         2.3001,         2.4885,         2.8630,         3.4252,         4.0494,         4.7054,         5.3518
     51,         5.6396,         3.6011,         2.8227,         2.4873,         2.4344,         2.5486,         2.8836,         3.4387,         4.0561,         4.7033,         5.3408
     52,         5.0063,         3.8413,         3.1694,         2.7503,         2.5990,         2.6392,         2.9175,         3.4534,         4.0626,         4.7011,         5.3300
     53,         2.1372,         3.5025,         3.3098,         2.9588,         2.7683,         2.7503,         2.9658,         3.4714,         4.0693,         4.6990,         5.3193
     54,        -1.5934,         1.5106,         2.6777,         2.9183,         2.8761,         2.8597,         3.0255,         3.4941,         4.0768,         4.6970,         5.3088
     55,         0.5845,         1.1931,         2.0525,         2.6030,         2.8216,         2.9149,         3.0852,         3.5212,         4.0859,         4.6953,         5.2984
     56,         3.4090,         2.6241,         2.3092,         2.4730,         2.7166,         2.9023,         3.1276,         3.5496,         4.0965,         4.6942,         5.2882
     57,         1.1850,         2.0774,         2.3803,         2.5411,         2.7077,         2.8863,         3.1508,         3.5755,         4.1080,         4.6936,         5.2781
     58,         3.4424,         2.3018,         2.3266,         2.5202,         2.7072,         2.8879,         3.1669,         3.5975,         4.1197,         4.6936,         5.2682
     59,         4.9057,         3.4328,         2.7688,         2.6267,         2.7246,         2.8934,         3.1804,         3.6163,         4.1308,         4.6938,         5.2584
     60,         4.0181,         3.4779,         3.0721,         2.8440,         2.8211,         2.9266,         3.1958,         3.6327,         4.1411,         4.6942,         5.2489
