          15
          12          13          14          19          23          25          26          27          28          29          30          31          32          33          35
          30,       101.0947,        12.0561,        22.3080,        29.2178,         0.2283,         0.5121,         0.1993,         9.0311,         0.3398,       879.6161,      3692.4199,       155.8905,         2.8517,        11.3896,        18.2368,
          31,       104.2386,        11.2934,        21.9108,        27.9161,         0.2322,         0.5023,         0.2051,         9.0063,         0.3444,       899.2587,      3666.0654,       155.8656,         2.8066,        11.1533,        17.7824,
          32,       102.1019,        10.6878,        22.1551,        27.6216,         0.2771,         0.4951,         0.1985,         8.6948,         0.3420,       901.2653,      3690.3477,       154.9070,         2.8184,        11.5726,        17.9052,
          33,       107.9283,        10.6664,        22.3114,        24.9691,         0.2851,         0.5150,         0.1919,         8.8560,         0.3332,       883.7924,      3711.7236,       154.5290,         2.8355,        11.4859,        17.2736,
          34,       105.1207,        11.4278,        22.4131,        21.0714,         0.2824,         0.4797,         0.1862,         8.6679,         0.3421,       885.5064,      3668.6057,       153.7947,         2.8987,        12.1909,        16.9246,
          35,       103.5864,        11.2594,        22.1334,        17.7430,         0.2889,         0.5061,         0.1895,         8.8305,         0.3323,       901.6355,      3645.6284,       152.3612,         2.8984,        11.8662,        16.6467,
          36,       103.0635,        11.6564,        21.6994,        16.8404,         0.3576,         0.4847,         0.1867,         9.1555,         0.3271,       913.2151,      3588.8020,       151.9320,         2.8552,        11.3510,        16.9339,
          37,       103.7086,        12.3463,        22.1303,        18.5279,         0.3334,         0.4618,         0.1949,         8.9547,         0.3308,       928.1008,      3662.1570,       153.4188,         2.8049,        11.8961,        17.7477,
          38,       108.0397,        11.9195,        21.6752,        18.8549,         0.2676,         0.4790,         0.1975,         8.7410,         0.3199,       946.6106,      3748.9985,       152.1595,         2.8098,        12.4343,        17.2339,
          39,       103.2860,        11.4361,        22.0316,        15.4577,         0.2787,         0.4667,         0.1945,         8.9335,         0.3263,       968.7567,      3687.4438,       153.0700,         2.7360,        12.6080,        16.9486,
          40,       104.7124,        11.1203,        21.5568,        17.0684,         0.2241,         0.4517,         0.1946,         8.8444,         0.3206,       972.0179,      3743.7141,       153.6242,         2.6769,        12.2843,        16.1838,
          41,       109.2222,        11.0287,        21.8102,        16.1000,         0.2549,         0.4570,         0.1899,         8.5548,         0.3192,       975.6752,      3666.9504,       154.1125,         2.6913,        11.6321,        17.0176,
          42,       113.5957,        11.9306,        21.8545,        12.9335,         0.3074,         0.4597,         0.1807,         8.1243,         0.3223,       958.8567,      3584.4111,       154.8233,         2.6561,        11.0900,        17.3771,
          43,       115.5800,        12.3226,        22.2330,        12.4108,         0.2415,         0.5010,         0.1711,         8.4035,         0.3302,       967.2341,      3645.7048,       153.3314,         2.6152,        10.5644,        17.5222,
